date,physical_risk_negative,physical_risk_neutral,physical_risk_positive,transition_risk_negative,transition_risk_neutral,transition_risk_positive
2014-10-06,24.568965517241377,20.25862068965517,6.896551724137931,18.53448275862069,25.43103448275862,4.310344827586207
2014-10-13,30.855018587360593,15.985130111524162,5.947955390334572,20.074349442379184,17.843866171003718,9.293680297397769
2014-10-20,20.14388489208633,12.949640287769784,6.115107913669065,25.899280575539567,25.179856115107913,9.712230215827338
2014-10-27,28.80658436213992,20.16460905349794,9.053497942386832,19.34156378600823,17.28395061728395,5.349794238683128
2014-11-07,24.4,20.4,3.5999999999999996,19.6,25.2,6.800000000000001
2014-11-10,29.962546816479403,20.59925093632959,8.239700374531834,16.853932584269664,17.228464419475657,7.116104868913857
2014-11-12,23.046875,19.140625,6.640625,23.4375,21.09375,6.640625
2014-11-19,26.332288401253916,20.37617554858934,4.702194357366771,19.435736677115987,24.45141065830721,4.702194357366771
2014-11-26,25.684931506849317,24.315068493150687,6.506849315068493,17.465753424657535,21.575342465753426,4.4520547945205475
2014-12-01,24.579124579124578,18.855218855218855,4.713804713804714,18.181818181818183,28.28282828282828,5.387205387205387
2014-12-05,23.134328358208954,21.26865671641791,5.597014925373134,17.91044776119403,25.0,7.08955223880597
2014-12-08,27.734375,17.1875,5.859375,18.359375,25.78125,5.078125
2014-12-09,20.344827586206897,23.103448275862068,4.827586206896552,27.241379310344826,18.275862068965516,6.206896551724138
2014-12-11,20.569620253164558,22.468354430379748,9.81012658227848,15.822784810126583,26.89873417721519,4.430379746835443
2014-12-17,23.346303501945524,20.233463035019454,7.392996108949417,21.011673151750973,23.346303501945524,4.669260700389105
2014-12-26,34.074074074074076,20.0,5.9259259259259265,14.444444444444443,19.25925925925926,6.296296296296296
2014-12-29,37.13450292397661,24.853801169590643,5.555555555555555,9.941520467836257,17.83625730994152,4.678362573099415
2015-01-01,18.421052631578945,23.157894736842106,7.894736842105263,16.842105263157894,26.842105263157894,6.842105263157896
2015-01-02,29.385964912280706,20.175438596491226,4.824561403508771,20.614035087719298,22.36842105263158,2.631578947368421
2015-01-05,25.589225589225588,17.845117845117844,4.713804713804714,20.53872053872054,24.915824915824917,6.397306397306397
2015-01-12,25.6198347107438,18.181818181818183,4.545454545454546,22.31404958677686,24.380165289256198,4.958677685950414
2015-01-19,27.941176470588236,18.627450980392158,6.862745098039216,19.11764705882353,25.0,2.450980392156863
2015-01-26,38.16793893129771,20.610687022900763,7.251908396946565,14.122137404580155,16.030534351145036,3.816793893129771
2015-01-30,21.34387351778656,18.57707509881423,4.743083003952568,22.134387351778656,25.296442687747035,7.905138339920949
2015-02-02,27.916666666666668,22.083333333333332,7.083333333333333,15.0,20.833333333333336,7.083333333333333
2015-02-10,25.78397212543554,25.435540069686414,5.2264808362369335,18.466898954703833,20.557491289198605,4.529616724738676
